ASIN,Name,20171,20172,2018,,2019 Q1,,2019 Q2,,July,Julym,August,Augustm,September,Septemberm,October,Octoberm,November,Novemberm,December,Decemberm,January,Januarym,February,Februarym,March,Marchm
ASIN,Item Name,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS
B011QXPZA4,"Arlo - Wireless Home Security Cameras with Motion Detection (4 Pack) | Night vision, Indoor/Outdoor, HD Video, Wall Mount | Cloud Storage Included | 4 cameras (VMC3430)",490,190963.63,11,4877.34,0,0,2,1224.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0758CNHH8,"Arlo - Wireless Home Security Cameras with Motion Detection | Night vision, Indoor/Outdoor, HD Video, Wall Mount | Cloud Storage Included | 2 cameras - Eco Packaging (VMS3230B)",291,65324.95,827,157156.16,62,11454.78,30,6551.34,18,3648.57,4,689.89,11,2397.47,5,1047.02,6,1334.54,10,1913.99,5,969.3,9,1364.66,7,1097.79
B01MDIYVI9,"Arlo Pro - Add-on Camera | Rechargeable, Night vision, Indoor/Outdoor, HD Video, 2-Way Audio, Wall Mount | Cloud Storage Included | Works with Arlo Pro Base Station (VMC4030)",38180,5981796.18,47553,6658245.59,6185,850911.61,14082,1622712.38,7190,720905.87,4171,437185.54,3545,377772.51,2065,242732.72,1077,128088.08,740,102760.7,478,63913.47,510,66712.55,540,69142.9
B01LR8PG6Q,"Arlo Pro - Wireless Home Security Camera System with Siren | Rechargeable, Night vision, Indoor/Outdoor, HD Video, 2-Way Audio, Wall Mount | Cloud Storage Included | 2 camera kit (VMS4230)",14226,5052183.43,13048,3794500.25,6010,1436964.89,2355,625712.39,1903,467167.51,1057,261805.42,1132,260577.28,1314,293130.03,943,205166.62,1058,256636.54,379,95581.8,268,62492.67,142,33670.76
B01LWS96JV,"Arlo Pro - Wireless Home Security Camera System with Siren | Rechargeable, Night vision, Indoor/Outdoor, HD Video, 2-Way Audio, Wall Mount | Cloud Storage Included | 3 camera kit (VMS4330)",19008,8639951.11,18365,6966847.13,5812,1981606.38,5518,1807824.58,3891,1122310.4,1463,469126.13,1461,446408.08,1248,360278.96,347,115144.05,255,85414.72,259,82186.39,503,152575.15,412,127964.28
B075P8HCT5,"Arlo Pro 2 - Wireless Home Security Camera System with Siren | Rechargeable, Night vision, Indoor/Outdoor, 1080p, 2-Way Audio, Wall Mount | Cloud Storage Included | 3 camera kit (VMS4330P)",0,0,22930,11032696.96,4961,2377637.83,3223,1564617.77,2054,843819.9,1076,457053.35,1509,611698.75,1630,647971.06,4831,1453861.48,3703,1147830.5,1754,601613.91,1680,522597.72,2034,641146.34
B075P84FH9,"Arlo Pro 2 ? (1) Add-on Camera | Rechargeable, Night vision, Indoor/Outdoor, HD Video 1080p, Two-Way Talk, Wall Mount | Cloud Storage Included | Works with Arlo Pro Base Station (VMC4030P)",5700,1148312.46,42432,7093656.67,10554,1637016.85,9988,1498267.94,6195,819617.15,4129,573595.69,4703,616113.43,3813,511010.01,3925,477387.72,5114,600327.96,4486,518203.26,4814,538088.67,5255,569471.88
B07RCH1RMV,"Arlo Pro 2 VMS4530P-100NAR Wireless Home Security Camera System with Siren, Rechargeable, Night Vision, Indoor/Outdoor, 1080p, 2-Way Audio, Wall Mount, 5 Camera Kit, White (Renewed)",0,0,0,0,0,0,1,849.97,19,14343.72,102,61338.87,123,73913.17,125,74511.76,78,46704,79,45457.35,70,39234.67,69,35464.35,190,88883.62
B075P84FH2,"Arlo Pro 2 Wireless Home Security Camera System with Siren | Rechargeable, Night vision, Indoor/Outdoor, 1080p, 2-Way Audio, Wall Mount | Cloud Storage Included | 2 camera kit (VMS4230P)",5704,2534757.36,31735,11996671.08,4265,1516046.87,7559,2391811.64,2809,793749.02,2698,819866.87,2465,716996.54,2051,585338.41,2963,744830.72,4103,1054480.09,1690,457209.92,2028,481662.68,3032,678404.51
B07X36WQ5W,"Arlo Pro 3 - Home Security Camera System | Wire-Free 2K Video with HDR, Color Night Vision, Spotlight, 160ç View, 2-Way Audio, Siren | Works with Alexa | Add-on Camera | Requires Arlo Smart Hub",0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,29598.89,346,61778.68,744,125493.44,668,113314.99,842,136528.85,960,152197.53
B072LBQD12,"Arlo Technologies Wireless Home Security Camera System | Night vision, Indoor/Outdoor, HD Video | Includes Cloud Storage & Required Base Station | 2-Camera System plus Outdoor Mount (VMS3230C) White",10004,2211459.98,20486,3625999.46,788,147952.09,573,108537.49,469,77202.71,632,101179.72,322,51768.95,250,39863.45,174,28637.66,284,47698.22,98,16432.22,73,11906.95,76,11519.98
B07JJJSMCM,"Arlo Ultra Home Security Camera System | 4K UHD Wire-Free with HDR, Color Night Vision, 180ç View, 2-Way Audio, Spotlight, Siren | Works with Alexa and HomeKit | 2 Camera Kit (VMS5240)",0,0,0,0,439,237084.03,851,465588.73,598,240663.43,421,206364.85,307,158092.11,306,147324.25,289,136567.68,506,241085.33,396,187949.01,185,95813.56,226,113246.02
B07JHC2L15,"Arlo Ultra Home Security Camera System| 4K UHD Wire-Free with HDR, Color Night Vision, 180ç View, 2-Way Audio, Spotlight, Siren | Add-on Camera (Requires Arlo Smart Hub - Sold Separately)",0,0,0,0,819,196071.58,1114,269165.38,609,116697.2,545,125244.43,429,99408.4,455,104488.51,464,102050.39,587,129365.82,568,114184.66,466,95674.89,575,110034.95
B07CYMXSTW,ARyee 12V 5A AC Adapter Charger Power Supply for Security Camera CCTV DVR Surveillance System,0,0,349,3514.86,110,1189.05,140,1512.13,212,2086.35,293,3284.03,375,4961.81,511,6763.05,525,6835.24,621,7300.5,717,8371.6,809,9403.35,989,11747.67
B077889YRN,"Audio WiFi Camera Outdoor, SV3C Motion Detection Security Camera, 720P HD Night Vision IP Cameras, Remote View Waterproof Surveillance CCTV for Indoor Outside, Support Max 128GB SD Card",188,7539.27,11516,459625.78,2300,92144.93,3029,120813.73,825,32727.85,483,19110.74,347,13803.25,285,11363.63,244,9746.29,254,10148.16,165,6590.3,94,3721.34,79,3088.18
B07JNRC8ZR,Automatic Cat Dog Pet Smart Feeder - App Control Pet Food Dispenser with WiFi Camera Video 4.5L Large Capacity Distribution Alarms Portion Control Voice Recording Timer Programmable,0,0,8,1020.25,173,22184.63,294,37611.94,75,9506.98,1,84.84,0,0,159,18018,189,18117.65,163,15824.85,164,10096.01,16,1014.98,1,68.42
B07X8SMLYZ,"Automatic Cat Feeder, Roffie Dog Food Dispenser for Small Pets with Distribution Alarms, Portion Control, Voice Recorder and Programmable Timer for up to 4 Meals per Day",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4723.04,237,19278.29,913,71359.99,1768,144094.47,1740,146800.41,1618,130048.01
B07ZZBJBM4,"AZONE Outdoor Security Camera - 3MP Bullet Door Camera IP66 Night Vision Home Surveillance System, WiFi Camera Outdoor, Two-Way Audio, Motion Detector, Alarm/Recording, (Set of 2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,8076.68,101,8229.17,44,3428.27
B07K5PTW7V,"Baby and Pet Monitor with Pan and Tilt, Two Way Audio, Motion Detection & Night Vision?Sotion 960P WiFi Wireless IP Surveillance Security Video Camera",0,0,19,811.66,175,5935.83,138,5601.28,102,2096.73,12,295.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07TGSR5XW,"Baby Monitor Camera, 1080P Pet Dog Camera with Phone App Speaker, Nanny Camera, WiFi Home Security Camera Indoor Surveillance Camera with Motion Detection, 2-Way Audio, Night Vision, Cloud, Alexa",0,0,0,0,0,0,2,97.98,148,5930.24,50,2177.45,46,2245.73,13,559.47,3,119.67,29,1117.75,32,1145.52,6,202.91,10,320.03
B083LVQKJ8,"Baby Monitor Camera, Pet Dog Camera with Phone App Speaker, Nanny Camera, 1080P WiFi Home Security Camera Indoor Surveillance Camera with Motion Detection, 2-Way Audio, Night Vision, Cloud, Alexa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,601.59,9,297.05,0,0
B07L8TS26P,"Baby Monitor Camera, Taococo IP Camera Wireless 1080P HD Home Security Camera for Baby Elder Pet Dog Monitor with Pan/Tilt Two-Way Audio,Night Vision,Motion Detection and Phone App Remote Control",0,0,0,0,554,24342.1,1355,58635.07,365,15656.31,234,10033.54,183,7796.9,162,6976.95,121,5685.13,52,2064.39,0,0,0,0,0,0
B07Y3RV1KK,"Baby Monitor Camera, Wansview 1080PHD WiFi Pet Camera for Dog and Cat, Compatible with Alexa Q6-W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,297.69,667,20395.57,1545,46441.07,2833,85093.38
B07K46HH3Q,"Baby Monitor WiFi 1080P IP Camera, Wireless Security Camera with Two-Way Audio Night Vision Motion Detection Indoor Security Camera, WiFi Home Security Surveillance HD Camera for Pet Baby Elder Care,",0,0,66,2620.95,152,6084.11,250,10044.61,57,2272.75,24,950.47,6,239.94,17,669.64,27,1069.69,24,947.39,25,993.19,28,1100.06,16,635.76
B07QHFFXC9,Baby Monitor Wifi Camera Pet Camera With Remote Viewing For Care Pet Baby Elder,0,0,0,0,0,0,30,1181.02,116,4816.2,32,1280.04,8,324.72,26,1026.27,10,426.9,89,2678.69,0,0,0,0,0,0
B07N428WP1,"Baby Monitor with Remote Pan-Tilt-Zoom Camera and 3.2'' LCD Screen, Infrared Night Vision",0,0,0,0,2044,183384.14,7027,631737.53,4984,441016.69,3515,314436.56,3214,287680.58,4124,342167.22,4459,376871.87,3701,331627.27,5119,450853.73,4968,445058.65,5406,486457.33
B07ZKDK5FZ,"Baby Monitor with Sensor Light, 1080P HD Indoor Wireless Smart Home Camera with 2-Way Audio Person Detection, Night Version Pet Nanny Cam, Support Local/Cloud Storage,Work with Alexa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4883.3,47,2293.86,87,5487.42,55,3463.55
B07KXX8S1T,"Baby Monitor, 1080P FHD Video Baby Monitor with Camera, Two Way Talk, Night Vision and Motion Detection. Pet Camera, Wireless WiFi Surveillance Security Camera with Pan and Tilt for Home and Business",0,0,32,1311.33,477,20292.65,162,7318.5,236,6287.17,285,7359.61,0,0,0,0,7,207.38,0,0,0,0,0,0,0,0
B07XQVG883,"Baby Monitor, 1080P Pet Camera Wireless Security Camera with Motion Detection Human Detection Two Way Audio and Cloud Storage Support 2.4G WiFi Night Vision Remote View for Home Baby Pet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,199.96,57,2161.99,28,1103.08,45,1639.76,85,2142.46,36,1304.53
B07TXGWRQY,"Baby Monitor, Bioxo Indoor 2.4G Wireless IP Security Surveillance System Night Vision for Pet/Office/Home Camera with Cloud Storage Two Way Audio Security Camera",0,0,0,0,0,0,0,0,2,113.98,1,51.36,16,841.54,19,929.87,12,539.37,7,287.61,4,152.09,5,190,4,151.42
B07WLS7D9Q,"Baby Monitor, BOIFUN 3.2'' Baby Video Monitor with Camera and Audio LCD Screen 750mAh Rechargeable Battery Support VOX Night Vision Temperature Monitoring Two-Way Talk 8 lullabies for Baby/Elder/Pet",0,0,0,0,0,0,0,0,0,0,3,254.97,302,23363.31,507,37132.17,700,46534.58,905,66412.63,445,33381.88,160,12005.87,101,7486.13
B07V2ZJVF6,"Baby Monitor, FREDI 1080P Wireless WiFi Pet Camera with Night Vision, Two-Way Audio, Motion Detection, IP Surveillance for Elder/Nanny Monitor - Work with iOS Android PC",0,0,0,0,0,0,0,0,0,0,34,1342.27,58,2302.73,70,2777.76,50,2003.36,21,833.64,8,316.74,6,236.85,10,395.16
B07DFFJPHT,"Baby Monitor, Lefun Wireless IP Security Camera WiFi Surveillance Pet Camera with Cloud Storage Two Way Audio Remote Viewing Pan Tilt Zoom Night Vision Motion Detect for Indoor Home Shop Office",0,0,12070,503079.55,6716,269894.46,10908,438348.71,8884,355006.35,5294,211235.36,5820,228435.45,4136,155801.63,4585,162157.98,8432,196963.6,4546,124588.58,3170,93075.7,1545,49472.8
B07WJ54GYR,"Baby Monitor, OMMC Wireless Home Security Camera 1080P IP Camera with Night Vision/2-Way Audio/Motion Detection, Works with Alexa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99.98,39,1470.8,80,2466.86,82,2407.35,55,1540.66,38,1229.85
B07QR535DD,"Baby Monitor, WiFi IP Camera 1080P Wireless Security Camera with Two Way Audio, Motion Detection and Cloud Storage Support 2.4G WiFi Night Vision Remote Surveillance Monitor for Home/Office/Shop",0,0,0,0,0,0,50,1217.74,157,3598.53,142,4546.88,123,3661.29,152,4123.37,94,1878.83,54,1649.77,24,710.88,138,2744.56,16,469.79
B07SW2N28D,"Baby Monitor, Wireless WiFi Home Security System 1080P FHD Wansview for Elder and Pet Camera with Motion Detection, 2 Way Audio, Works with Alexa, TF Card and Cloud Available K5",0,0,0,0,0,0,109,2947.65,1513,32892.52,301,6422.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07N7MP84C,"Baby Video Monitor Wireless Camera with 1080P, Home Surveillance IP Camera for Monitoring Baby,Infant and Pet, 2-Way Audio and Night Vision with 32GB SD Card",0,0,0,0,1,59.99,2,119.98,3,119.97,1,50.8,2,73.83,5,214.72,3,119.97,0,0,2,100.59,0,0,0,0
B07MX31H5Q,"Bagotte Full HD 1080P WiFi Home Security Camera, Wireless IP Indoor Surveillance System Pan/Tilt/Zoom Audio Camera, Night Vision, Motion Detection, Remote Baby Monitor iOS - Cloud Storage",0,0,0,0,0,0,392,21714.65,205,10278.65,242,14056.78,7,349.93,0,0,0,0,0,0,0,0,0,0,0,0
B07S37LNWM,"Basoqiia WiFi IP Camera 1080P Wireless Security Camera Indoor Home IP Camera Support 2.4G WiFi Baby Pet Monitor Indoor Dome Camera with Night Vision, 2-Way Audio",0,0,0,0,0,0,14,422.86,125,3132.16,27,798.61,11,296.89,24,611.5,27,606.55,21,517.91,23,551.45,5,155,5,162.27
B07HH6Z357,"Battery Powered Security Camera, Wireless and Wire-Free, Home Security Camera with Night Vision & PIR Alarm for Baby/Pet Monitor",0,0,281,16761.83,750,44795.31,693,41289.25,80,4606.17,94,4877.96,147,7500.96,131,5961.57,152,6533.45,98,4845.06,113,5470.88,61,2990.98,19,931.38
B07SJZ8F38,"Battery Security Camera Wireless - Solar Powered IP Camera Outdoor 1080P HD Rechargeable Battery Powered WiFi Camera for Home Security, House Video Surveillance System 2 Way Audio Motion Detection",0,0,0,0,0,0,27,2733.86,775,77271.85,851,85340.78,549,54476.5,627,58276.26,322,30522.44,296,27105.78,124,11364.68,91,8483.53,71,6617.02
B07RWCMQ1V,"Battery Security Camera, Enow-YL Wireless Rechargeable Battery Powered WiFi Home Security Camera, Waterproof Outdoor Surveillance IP Camera HD 1080P with PIR Motion Sensor Night Vison 2-Way Audio",0,0,0,0,0,0,46,3625.74,217,14857.61,175,12408.32,124,9365.67,79,3988.12,63,4709.98,88,6822.86,106,8044.76,4,302.53,8,572.77
B07L3Z2G1K,"BIG+ WiFi FHD 1080P Pet Camera with Night Vision, 2-Way Audio and app, Motion Detection, Pan/Tilt, 355-degree. Smart IP Home Camera, Multiuse for Baby, Dog, Cat, Elderly Monitor.",0,0,0,0,0,0,13,472.96,30,888.63,47,1387.64,17,567.73,16,532.97,8,246.47,22,522.46,8,196.37,27,614.91,40,928.11
B07QD44FJY,"Blibly 1080P WiFi IP Security Camera for Baby/Elder/Pet, APP Remote Control?Two-Way Voice Intercom, HD Infrared Night Vision Function Motion Tracking, Pan/Tilt/Zoom with Home Security System",0,0,0,0,0,0,36,1509.07,8,279.94,2,76.63,7,277.42,2,83.47,1,39.99,2,83.96,0,0,2,83.66,1,39.69
B0172DDZ5E,"Blink Indoor Home Security Camera System with Motion Detection, HD Video, 2-Year Battery Life and Cloud Storage Included - 1 Camera Kit",9475,935763.07,28288,2280622.15,4363,400717.25,7286,502426.66,8133,413111.25,1908,121587.99,1530,105803.06,16491,1239399.71,2081,115123.71,5226,266953.91,1215,88124.58,895,64654.83,883,64623.22
B018HC6PVA,"Blink Indoor Home Security Camera System with Motion Detection, HD Video, 2-Year Battery Life and Cloud Storage Included - 3 Camera Kit",9867,2228380.9,20550,4097997.84,3302,694238.39,6123,1057033.66,6100,802786.98,1965,295396.92,1440,237715.73,1439,228651.71,1198,178549.19,1851,264231.37,974,165430.68,701,120224.91,668,115613.78
B07CNZ2TQT,"Blink XT XT2 Camera Wall Mount Bracket ,Weather Proof 360 Degree Protective Adjustable Indoor/Outdoor Mount and Cover for Blink XT XT2 Home Security Camera Anti-Sun Glare UV Protection Black(3 Pack)",0,0,18139,497191.17,7938,157860.26,6559,137817.59,1685,30735.02,779,12783.02,1092,16789.27,1651,26938.18,1737,28827.21,4012,64086.31,2459,39408.98,2361,38717.22,2282,36862.13
B07R43J6N4,"Blink XT2 Camera Wall Mount Bracket, Weather Proof 360ç Protective Plastic Housing Cover Case and Adjustable Mount for Blink XT/ XT2 Indoor Outdoor Home Security Camera System (Black(3 Packs))",0,0,0,0,0,0,1207,25008.1,3516,83740.03,1630,35509.37,1586,30254.29,1769,33121.71,1668,29475.44,2559,42264.72,1074,16717.36,686,10846.58,732,10603.8
B07MMZ2LTB,"Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life ? 1 camera kit",0,0,0,0,0,0,12062,1135977.92,23645,1622148.8,9216,756541.37,5621,501594.19,8322,697516.57,20186,1248650.95,31473,1867141.52,7488,661074.34,8271,706528.51,6854,630748.69
B07MN67BCR,"Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life ? 2 camera kit",0,0,0,0,0,0,10808,1852572.85,98899,9881483.07,13035,1892125.76,12796,1881216.01,9645,1500292.58,20464,2712420.89,39839,4749161.66,11598,1814355.82,10458,1582146.87,11710,1817851.73
B07MMZF2BF,"Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life ? 3 camera kit",0,0,0,0,0,0,9572,2260886.57,44260,7273676.85,11066,2296745.73,7211,1651409.14,10063,2229813.43,24689,4380729.38,51998,8558633.74,12202,2679894.91,15098,3123584.8,19558,4143384.06
B07M8DTHGL,"Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life ? Add-on camera for existing Blink customers",0,0,0,0,0,0,11054,956857.27,36893,2353608.93,17531,1337043.95,9383,754953.12,11561,886517.36,13465,980343.44,32202,2054897.77,13760,1065014.7,21948,1582905.3,21752,1645054.28
B07GTBSKQH,BlueHills White Compact Security Camera for Ceiling or Walls HD 1080P Night Vision Motion Detector & Two-Way Audio - Monitor Front-Door Home Business Kids Baby Dog Cat & Pets with App in Cell Phone,0,0,254,9804.32,273,10623.2,259,9467.33,94,3431.56,95,3663.43,80,3117.33,91,3470,101,3818.55,58,2202.98,37,1409.88,69,2609.76,18,691.31
B082CM4LP9,"Bluetooth Mini Spy¾Camera,ZZCP WiFi Hidden Camera HD 1080P Portable¾Nanny Cam¾with Night Vision,Motion¾Detection¾and Bluetooth Speaker,Indoor Outdoor Wireless¾Home¾Security¾Surveillance¾IP Camera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1391.29,171,7988.31,92,4605.27,50,2507.05
B07SZ8CW38,"Bluetooth Wifi Mini Spy Hidden Camera, ZZCP Wireless HD 1080P Portable Covert Home Nanny Cam with Motion Detection,¾Night Vision and Bluetooth Speaker? Indoor¾Outdoor Small Live Stream¾Security Camera",0,0,0,0,0,0,21,1023.93,522,23913.67,631,30100.96,480,22626.37,469,22967.85,369,17816.24,212,10606.1,116,5776.36,71,3549.52,27,1340.21
B07NRTV8PF,"blurams 1080p Dome Security Camera | PTZ Surveillance System with Motion/Sound Detection, Smart AI Alerts, Privacy Mode, Night Vision, Two-Way Audio | Cloud/Local Storage Available | Works with Alexa",0,0,0,0,0,0,959,42896.41,1184,52098.64,445,20191.31,765,32512.96,728,31457.16,1207,48524.27,1410,53654.02,1067,41871.65,968,35395.38,716,29341.76
B07YB8HZ8T,blurams Dome Camera 1080p Wireless Security Camera Pan/Tilt/Zoom WiFi Camera with Smart Motion/Sound/Person Detection Two-Way Audio Night Vision Privacy Mode | Cloud&Local Storage| Works with Alexa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,11914.34,500,18108.44,1194,44084.58,340,11248.03,754,28615.26
B07NRXDWVS,"blurams Dome Pro, 1080p Security Camera with Siren | PTZ Surveillance System with Facial Recognition, Human/Sound Detection, Person Alerts, Night Vision | Cloud/Local Available | Works with Alexa",0,0,0,0,0,0,448,25306.83,197,10117.26,937,56110.61,312,17284.51,407,21938.85,419,19502.63,404,18099.95,666,30345.73,453,21155.63,232,10738.55
B07NS5DPX2,"blurams Home Pro, Security Camera 1080p FHD | w/ Facial Recognition, 2-Way Talk, Siren, Human/Sound Detection, Smart Alerts, Privacy and Night Vision Wi-Fi Cam | Cloud/Local Storage, Works with Alexa",0,0,0,0,0,0,574,31367.23,645,27307.45,267,14625.82,697,36051.2,2281,108744.34,706,31781.82,1807,78590.1,982,45020.39,600,26625.11,1250,52134.2
B07LF4PNS2,"BNT Dummy Fake Security Camera, with One Red LED Light at Night, for Home and Businesses Security Indoor/Outdoor (2 Pack, White)",0,0,0,0,117,2175.37,873,14918.87,269,4954.66,333,5810.78,415,6984.96,370,6389.82,512,7859.04,734,10270.53,818,10954.27,903,12218.09,751,11331.79
B07LF5521H,"BNT Dummy Fake Security Camera, with One Red LED Light at Night, for Home and Businesses Security Indoor/Outdoor (4 Pack, White)",0,0,0,0,32,855.1,432,10968.37,356,8776.86,320,8291.17,216,5586.33,350,8933.31,299,7082.21,491,10407.55,367,7976.05,355,8422.15,326,7605.08
B07NRKZ57N,"Bolt Rotating Wireless CCTV IP Camera WiFi Camera for Baby/Elder/Pet/Nanny Monitor, Pan/Tilt, Two-Way Audio & Night Vision Monitor with iOS, Android App (Supports Micro SD Card)",0,0,0,0,0,0,2,77.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0717195LV,"Bright Clear Night Vision 1080P Sony Exmor Sensor (TVI/AHD/CVI/1200tvl) 2.8-12mm Manual Zoom Security Camera, Honic 2MP Varifocal CCTV Cameras, Outdoor Waterproof Analog Camera for Video Surveillance",1418,67005.1,2906,125176.6,552,22848.72,1236,54430.35,655,27918.72,486,20997.18,465,20359.49,381,16672.35,436,19000.36,314,13760.02,470,21026.65,421,19357.03,251,11948.95
B072QW2X9P,"Bright Clear Night Vision 2MP Wide Angle (AHD TVI CVI 960H) Indoor Outdoor Dome CCTV Camera, Honic 1080P Security IR Analog Camera, Waterproof Eyeball Cam for Surveillance (Metal)",852,21673.62,2839,68464.55,1349,30624.17,2042,50087.22,1018,23401.62,738,17267.91,707,17472.52,811,20246.2,550,13442.3,565,13454.94,514,12795.44,385,9812.73,374,9818.67
B07QXNLRD6,"BroElec Panoramic Light Bulb Camera 360 Degree Smart WiFi, 1080P HD Security Surveillance Camera with IR Motion Detection, Night Vision, Two-Way Communication for Home Baby Pets, Support 128G SD Card",0,0,0,0,0,0,228,10156.35,159,7614.57,226,10214.83,330,14718.07,248,11084.2,75,3356.84,0,0,0,0,0,0,0,0
B07NQFTB8T,"CACAGOO Video Baby Monitor with Camera and Audio, 2.4G Security WiFi Camera, Home IP Camera with Night Vision/Motion Detection, Remote Monitor with iOS, Android App - Cloud Service Available",0,0,0,0,14,526.14,741,27959.56,87,2720.42,1061,31058.38,174,5261.62,1067,31896.99,232,6335.22,209,4738.29,60,1628.86,25,741.13,21,630.27
B07PFKPFH2,"CACAGOO Video Baby Monitor, Security Wifi Camera 1080P IP Camera, Indoor Home Wireless Pan/Tilt Camera with Motion Detection, Night Vision & 2-Way Audio for Baby/Pet/Elder",0,0,0,0,0,0,65,2589.31,154,5429.99,236,7445.91,198,5657.27,40,1287.18,25,769.7,19,554.26,7,221.85,3,95.37,125,3980.5
B07QHW49LG,"CACAGOO Video Baby Monitor, Security WiFi Camera 1080P Wireless IP Camera Indoor Home Dome Camera with IR Night Vision/Two-Way Audio, Cloud Storage",0,0,0,0,0,0,236,9112.79,677,20745.92,344,10489.16,447,13585.88,390,11784.62,762,22682.21,320,8582.16,52,1614.89,26,874.31,26,858.87
B07PHTQY5S,"CACAGOO Video Baby Monitor, Security WiFi IP Camera 1080P, Indoor Home Wireless Camera with Motion Detection Night Vision with 2-Way Audio for Baby/Pet/Elder",0,0,0,0,0,0,406,20394.56,87,3123.3,134,6206.73,34,1317.54,16,512.25,32,981.37,18,578.61,10,317.39,11,349.01,8,254.27
B07ZFSTDKY,"Camera Charger, E COASTAL 1080P Full HD Camera Recorder for Security Camera Home Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,65.98,202,6628.28,2,65.98,390,14002.35,159,5649.65,131,4692.22
B0837S522C,Camera in Charger with Remote View APP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4578.18,466,23141.55
B07BHLVXF7,Campark Trail Camera-Waterproof 14MP 1080P Game Hunting Scouting Cam with 3 Infrared Sensors for Wildlife Monitoring with 120çDetecting Range Motion Activated Night Vision 2.4? LCD 42pcs IR LEDs,0,0,31568,2197795.81,9978,698507.82,11928,833807.53,7962,505324.92,7299,502817.28,8191,546535.41,8759,590042.2,8481,528927.55,16221,1106026.73,3896,264679,3908,250451.56,2875,172027.54
B082DY8YQK,"Campark Video Baby Monitor with Camera Infant Digital Cam Optics with Infrared Night Vision 2.4"" LCD 2.4GHz Wireless Two Way Talk Temperature Sensor VOX Auto Wake-up Multi-Camera Connection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,16397.65,990,54763.4
B00NW31YSE,"CANARY (CAN100USBK) All-in-One Indoor 1080p HD Security Camera with Built-in Siren and Climate Monitor, Motion / Person / Air Quality Alerts, Works with Alexa, Insurance Discount Eligible - Black",10144,1329260.54,6421,652059.25,1580,108198.72,1800,97860.87,810,35599.73,455,22384.12,584,26145.77,975,43574.28,944,45451.68,954,44659.1,427,23133.1,270,14909.48,220,11193.38
B07L67JWBD,"CANARY Flex Indoor Outdoor WiFi HD Home Security Camera + 1 Year Premium Service Plan Included | Home Surveillance | Night Vision, Weatherproof, Wire-Free or Plug in | Motion Sensor Alerts, White",0,0,0,0,8,1745.56,51,8205.43,31,4143.6,36,4724.41,15,1950.94,12,1521.01,17,2201.01,40,5215.7,22,2844.69,38,4897.77,40,4928.87
B07KKPTTHQ,"CANARY View: Indoor Security Camera | Home Monitoring, WiFi, Wide-Angle Lens, Motion Alerts, Compatible with Alexa & Google Home, Black",0,0,1522,68966.55,889,54834.44,195,11284.32,82,3487.46,57,2488.27,42,2026.73,11,531.5,147,6384.87,122,5818.69,27,1287.55,13,629.69,8,423.26
B01L1F9SLO,"CANARY: Flex Indoor Outdoor HD Security Camera | Weatherproof, Wire-free or Plug In, Works with Alexa | App Enabled Motion & Person Alerts (Front Porch, Door, Nursery, Backyard, Garage, Pool), Black",7013,1070564.9,7579,982341.95,1411,173513.15,1503,207368.47,490,62640.73,362,46717.74,278,35073.53,324,39891.58,263,31325.49,389,49492.31,227,29047,192,23880.49,146,18502.01
