ASIN,Name,20171,20172,2018,,2019 Q1,,2019 Q2,,July,Julym,August,Augustm,September,Septemberm,October,Octoberm,November,Novemberm,December,Decemberm,January,Januarym,February,Februarym,March,Marchm
ASIN,Item Name,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS
B07QM5996S,"?8Channel,Audio? Hiseeu Wireless Security Camera System,8Channel NVR 4Pcs 1080P Cameras,Mobile&PC Remote,Outdoor IP66 Waterproof,Night Vision,Motion Alram,Plug&Play, 24/7 Recording,1TB HDD",0,0,0,0,0,0,25,5820.48,63,12536.85,40,9240.23,60,13594.67,112,25667.72,79,16379.22,164,37090.4,151,33242.05,231,51498.54,246,54326.83
B07GKDG7NN,"?Audio Recording? Tonton 1080P Full HD Security Camera System Wireless,8CH NVR Kit with 1TB HDD and 6PCS 2.0MP Outdoor Bullet IP Metal Housing Cameras with PIR Sensor,Auto-Pair,True Plug and Play",0,0,29,11295.84,51,19699.86,78,29481.95,10,3790.19,18,6830.72,19,6821.27,17,6403.44,8,3039.92,15,5622.71,7,2635.75,16,6038.08,5,1881.74
B07BZKR3L6,"?Audio? ONWOTE 5MP PoE NVR Security Camera System, 8CH H.265 5MP NVR 3TB HDD, 8 Outdoor 5 Megapixels 2592x 1944P Ethernet IP Security Cameras, 100ft Night Vision, Onvif, Remote Home Monitoring System",0,0,213,163206.32,94,72729.37,109,77377.67,51,34681.8,24,16799.76,18,12526.2,21,14660.22,18,12476.47,21,14500.48,16,10737.75,22,13816.13,16,10173
B07VR9TD3R,"?Newest? ONWOTE UltraHD 4K 8MP IP PoE Security Camera Dome, Hikvision Compatible, 3840x2160 8-Megapixel, Indoor/Outdoor, 100ft NightVision, 110ç View Angle, IP66 Weatherproof, Vandalproof, Onvif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1029.88,40,3839.1,20,1484.29,9,884.25,26,2319.49
B07SFVJDCG,?Upgraded? Spy Camera Charger Hidden Cameras Nanny Cam USB Wall Adapter HD 1080P Mini Cams Plug for Home Security Motion Detection Up to 128GB Micro SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,7593.38,938,27458.71,1106,33331.64,842,25511.47,884,26638.9,536,16159.75
B01HDZM66K,"(2 Pack) Dummy Security Camera, Fake Bullet CCTV Surveillance System with Realistic Look Recording LEDs + Bonus Warning Sticker - Indoor/Outdoor Use, for Homes & Business- by Armo",3822,61518.66,7435,132483.82,2641,46787.48,3507,62635.67,1153,20464.51,1177,20978.89,999,17712.39,899,15977.48,726,12646.74,812,14870.18,742,13593.54,832,15125.92,859,15601.11
B07F2XC89F,"(4 Pack) Fake Security Camera CCTV Fake Dome Camera with Realistic Look Recording Red LED Light Indoor and Outdoor Use, for Homes & Business- by Armo",0,0,803,19169.18,584,15140.47,1060,27429.34,424,11064.13,368,9576.53,361,9281.53,284,7385.58,209,5294.03,506,10267.62,478,9676.52,580,11958.01,197,5085.75
B07TJT1Z1H,"(Hikvision Compatible) 3MP PoE IP Dome Camera IP Security Camera Outdoor Night Vision 98ft, Motion Alert, Weatherproof IP66 ONVIF Compaliant, Indoor Outdoor, Wide Angle 2.8mm",0,0,0,0,0,0,0,0,0,0,63,1879.18,220,6761.6,208,6734.36,302,10319.83,260,9261.55,467,16980.97,447,17483.85,218,8464.02
B07S8TM2FM,"(Hikvision Compatible) 5MP PoE IP Dome Camera Outdoor with Audio, Microphone, H.VIEW Video Surveillance Super HD Night Vision 100ft Home Security, ONVIF Compaliant, Wide Angle 2.8mm",0,0,0,0,0,0,35,1739.88,72,3582.69,149,8149.6,129,7036.25,188,10591.8,217,11606.64,179,9851.19,148,8123.67,203,11231.47,190,10126.75
B0814PSCRG,"[2 PACK]Wireless Security Camera Outdoor, NexTrend 1080P Full HD WiFi Surveillance Cameras with Night Vision Two Way Audio Motion Detection IP66 Waterproof IP Home Camera for Indoor Outdoors Free APP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,843.98,12,1331.24
B06XBNPTRN,"[2017 Item ] Petcube Bites Pet Camera with Treat Dispenser: HD 1080p Video Monitor, 2-Way Audio, Night Vision, Sound and Motion Alerts. For Dogs and Cats",772,110717.61,1396,184353.19,1,174.35,0,0,0,0,13,2436.47,19,3116.08,7,1318.72,10,1867.67,16,3015.88,1,87.35,1,244.45,0,0
